row,Game Name,Category,NYC,BGG ID,BGG Rank,Avg Rating,Geek Rating,Weight,Year,Min Players,Max Players,Best Players,Recommended Players,Min Age (Manufacturer),Community Age,Min Playtime,Max Playtime,Designers,BGG Categories,Mechanics,Themes,Fans Also Like,Match Confidence,Match Method,Description
73,Furnace,Mid-Weight Strategy,,318084,407,7.3862,7.08051,2.32013201320132,2020,2,4,3-4,2-4,12,10+,30,60,Ivan Lashin,Card Game | Economic | Industry / Manufacturing | Post-Napoleonic,Action Queue | Auction / Bidding | Auction Compensation | Auction: Fixed Placement | Auction: Multiple Lot | Constrained Bidding | Income | Multi-Use Cards | Open Drafting | Turn Order: Progressive | Variable Player Powers | Variable Set-up,Crowdfunding: Spieleschmiede | Series: Furnace,Viticulture Essential Edition | Smartphone Inc. | Whistle Mountain | Raiders of the North Sea | Architects of the West Kingdom | Five Tribes: The Djinns of Naqala | Terraforming Mars: Ares Expedition | Maglev Metro | Quacks | Earth | Orléans | Tapestry | Cascadia | Between Two Castles of Mad King Ludwig | Pulsar 2849 | Rajas of the Ganges | Paladins of the West Kingdom | Grand Austria Hotel | Sagrada | Obsession | IKI | Concordia | Ark Nova | Great Western Trail | Lost Ruins of Arnak | Cubitos | Fantastic Factories | Dinosaur Island,1.00,auto,"Furnace is an engine-building Eurogame in which players take on the roles of 19th-century capitalists building their industrial corporations and aspiring to make as much money as they can by purchasing companies, extracting resources, and processing them in the best combinations possible. Each player starts the game with a random start-up card, the resources depicted at the top of that card, and four colored discs valued 1-4. The game is played over four rounds, and each round consists of two phases: Auction and Production. During the auction, 6-8 company cards are laid out with their basic si"
74,Glen More II: Chronicles,Mid-Weight Strategy,,265188,205,7.85699,7.36172,3.0060240963855422,2019,2,4,3,2-4,12,12+,90,120,Matthias Cramer,City Building | Economic | Farming | Territory Building,Commodity Speculation | Grid Movement | Market | Set Collection | Tile Placement | Turn Order: Time Track,Animals: Cattle / Cows | Animals: Sheep | Country: Scotland | Crowdfunding: Kickstarter | Organizations: Automa Factory | Versions & Editions: Sequels,Underwater Cities | Pulsar 2849 | Bonfire | Grand Austria Hotel | Paladins of the West Kingdom | Anno 1800: The Board Game | Rajas of the Ganges | Endeavor: Age of Sail | Gùgōng | Evacuation | Viscounts of the West Kingdom | Fields of Arle | Woodcraft | Praga Caput Regni | Boonlake | Tiletum | Hallertau | Coimbra | IKI | Trickerion: Legends of Illusion | Skymines | Viticulture Essential Edition | Carnegie | Teotihuacan: City of Gods | Whistle Mountain | Kutná Hora: The City of Silver | The Red Cathedral | Clans of Caledonia,1.00,auto,"Glen More II: Chronicles is a sequel to Glen More, expanding the gameplay substantially compared to the original game. In Glen More II: Chronicles, each player represents the leader of a Scottish clan from the early medieval ages until the 19th century, a leader looking to expand their territory and wealth. The success of your clan depends on your ability to make the right decision at the right time, be it by creating a new pasture for your livestock, growing barley for whisky production, selling your goods on the various markets, or gaining control of special landmarks such as lochs and castl"
75,Grand Austria Hotel,Mid-Weight Strategy,,182874,67,7.96391,7.71516,3.1957894736842105,2015,2,4,2,2-3,12,12+,60,120,Virginio Gigli | Simone Luciani,Economic,Action Drafting | Contracts | Dice Rolling | End Game Bonuses | Hand Management | Set Collection | Turn Order: Progressive | Variable Set-up,"Cities: Vienna (Austria) | Country: Austria | Crowdfunding: Wspieram | Theme: Food / Cooking | Theme: Hotels, Inns, Lodgings",Rajas of the Ganges | Coimbra | Lorenzo il Magnifico | Yokohama | Underwater Cities | Tzolk'in: The Mayan Calendar | Pulsar 2849 | Glen More II: Chronicles | Hallertau | Gùgōng | The Red Cathedral | Clans of Caledonia | Marco Polo II: In the Service of the Khan | Le Havre | Praga Caput Regni | Trajan | Paladins of the West Kingdom | Orléans | Teotihuacan: City of Gods | The Voyages of Marco Polo | Bonfire | Heaven & Ale | Great Western Trail | Maracaibo | Architects of the West Kingdom | Woodcraft | Fields of Arle | Marrakesh,1.00,auto,"In the thick of the Viennese modern age, exquisite caf&eacute;s are competing for customers. Inspiring artists, important politicians, and tourists from all over the world are populating Vienna and in need of a hotel room. This is your opportunity to turn your little caf&eacute; into a world famous hotel. Hire staff, fulfill the wishes of your guests, and gain the emperor's favor. Only then will your caf&eacute; become the Grand Austria Hotel. The start player rolls the dice, sorting them by the rolled number and placing them on the corresponding action spaces. On a turn, a player chooses one "
76,Great Western Trail,Mid-Weight Strategy,,193738,20,8.1498,7.97517,3.6937203791469195,2016,2,4,3,2-4,12,12+,75,150,Alexander Pfister,American West | Animals,"Deck, Bag, and Pool Building | Hand Management | Ownership | Set Collection | Track Movement | Variable Set-up","Animals: Cattle / Cows | Cities: Kansas City (Missouri, USA) | Country: USA | Series: The Great Designers (Stronghold Games) | States: Texas",Tzolk'in: The Mayan Calendar | Concordia | Terra Mystica | Caverna: The Cave Farmers | Troyes | Orléans | A Feast for Odin | Gaia Project | The Voyages of Marco Polo | The Castles of Burgundy | Clans of Caledonia | Le Havre | Terraforming Mars | Beyond the Sun | Lorenzo il Magnifico | Through the Ages: A New Story of Civilization | Teotihuacan: City of Gods | Yokohama | Underwater Cities | Maracaibo | Keyflower | Pulsar 2849 | Endeavor: Age of Sail | Ark Nova | Scythe | Viticulture Essential Edition | Brass: Birmingham | Russian Railroads,1.00,auto,"America in the 19th century: You are a rancher and repeatedly herd your cattle from Texas to Kansas City, where you send them off by train. This earns you money and victory points. Needless to say, each time you arrive in Kansas City, you want to have your most valuable cattle in tow. However, the ""Great Western Trail"" not only requires that you keep your herd in good shape, but also that you wisely use the various buildings along the trail. Also, it might be a good idea to hire capable staff: cowboys to improve your herd, craftsmen to build your very own buildings, or engineers for the import"
77,Hadara,Mid-Weight Strategy,,269144,574,7.38188,6.94018,2.210280373831776,2019,2,5,4-5,2-5,10,10+,45,60,Benjamin Schwer,City Building | Civilization,End Game Bonuses | Memory | Open Drafting | Set Collection | Simultaneous Action Selection,,It's a Wonderful World | Century: Spice Road | Bunny Kingdom | Bärenpark | Nidavellir | Five Tribes: The Djinns of Naqala | Gizmos | Architects of the West Kingdom | Stone Age | Welcome To... | Knarr | Get on Board: New York & London | Orléans | Imhotep | Ancient Knowledge | Coal Baron | 7 Wonders Duel | Castles of Mad King Ludwig | Jaipur | The Great Split | Planet Unknown | Cacao | Tiny Towns | Splendor Duel | Azul: Summer Pavilion | The Castles of Burgundy | The Guild of Merchant Explorers | 7 Wonders: Architects,1.00,auto,"Hadara carries you off into the world of cultures and countries of this earth. Over three epochs, you will experience the transformation of your new world from a small settlement to a high culture. You want to populate this world with people who come from different cultures and continents as well as different ages. To bring glory and honor to your world, you should choose the persons and accomplishments skillfully. But you should not ignore agriculture, culture, and military power, otherwise one of your competitors might get bigger and more successful than you. Who will succeed first in creati"
78,Hansa Teutonica,Mid-Weight Strategy,,43015,147,7.75052,7.47086,3.0906976744186045,2009,2,5,5,3-5,12,12+,45,90,Andreas Steding,Medieval,Action Points | Area Majority / Influence | End Game Bonuses | Network and Route Building | Ownership | Take That | Tech Trees / Tech Tracks,Country: Germany | Occupation: Merchant | Theme: Hanseatic League,Keyflower | El Grande | Brass: Lancashire | Power Grid | Glory to Rome | Concordia | Troyes | Caylus | Tigris & Euphrates | Imperial 2030 | Tammany Hall | Faiyum | Race for the Galaxy | In the Year of the Dragon | Lancaster | Le Havre | Terra Mystica | The Princes of Florence | Puerto Rico | Ra | Goa | Dominant Species | Great Western Trail | Agricola | Chinatown | Food Chain Magnate | Brian Boru: High King of Ireland | Navegador,1.00,auto,"The players act as traders trying to get victory points for building a network of offices, controlling cities, collecting bonus markers, or when other traders use the cities they control. After controlling a line between two cities with your pawns, you can decide to build an office (and maybe also establish control and/or get a bonus marker) or to get a skill improvement from some of the cities. Players have to improve their traders' ""skills"" for the following effects: getting more VP from offices in their network, getting more available action points, increasing the number of available pawns,"
79,Imperial,Mid-Weight Strategy,,24181,368,7.58705,7.1201,3.558139534883721,2006,2,6,4,3-6,13,12+,120,180,Mac Gerdts,Economic | Nautical | Political | Post-Napoleonic,Advantage Token | Area Majority / Influence | Area Movement | Investment | Ownership | Rondel | Stock Holding | Victory Points as a Resource,Category: Combinatorial | Continents: Europe | Country: Austria-Hungary | Series: Rondel (Mac Gerdts),Die Macher | Automobile | Imperial 2030 | Dominant Species | Hansa Teutonica | Brass: Lancashire | Tigris & Euphrates | Power Grid | Container | Tammany Hall | Caylus | Glory to Rome | Steam | The Princes of Florence | Genoa | Age of Industry | Roads & Boats | Food Chain Magnate | Railways of the World | El Grande | Tribune: Primus Inter Pares | Twilight Struggle | 7 Empires | A Few Acres of Snow | Pax Pamir: Second Edition | Agricola | Lancaster | Panamax,1.00,auto,"From the rulebook: Europe in the age of imperialism. International investors try to achieve the greatest influence in Europe. With their bonds, they control the politics of the six imperial nations: Austria-Hungary, Italy, France, Great Britain, the German Empire, and Russia. The nations erect factories, build fleets, and deploy armies. The investors watch as their nations expand, wage wars, levy taxes, and collect the proceeds. Since the European nations are under the shifting influence of different investors, new strategic alliances and conflicts arise between them again and again! Each play"
80,Imperial Settlers,Mid-Weight Strategy,,154203,395,7.28615,7.09368,2.775553213909378,2014,1,4,2,1-4,10,10+,45,90,Ignacy Trzewiczek,Ancient | Card Game | City Building | Civilization,Closed Drafting | Contracts | End Game Bonuses | Hand Management | Income | Multi-Use Cards | Open Drafting | Solo / Solitaire Game | Take That | Turn Order: Progressive | Variable Player Powers,Ancient: Egypt | Ancient: Rome | Country: Japan,51st State: Master Set | Roll for the Galaxy | Stone Age | Res Arcana | 7 Wonders Duel | Caverna: The Cave Farmers | Dungeon Petz | Five Tribes: The Djinns of Naqala | Seasons | The Castles of Burgundy | Terraforming Mars | Century: Spice Road | New Frontiers | Abyss | Small World | It's a Wonderful World | Orléans | Architects of the West Kingdom | Lost Ruins of Arnak | 7 Wonders | Splendor | Takenoko | Tapestry | Viticulture | Hadara | Wingspan | Tzolk'in: The Mayan Calendar | Castles of Mad King Ludwig,1.00,auto,"Settlers from four major powers of the world have discovered new lands, with new resources and opportunities. Romans, Barbarians, Egyptians and Japanese all at once move there to expand the boundaries of their empires. They build new buildings to strengthen their economy, they found mines and fields to gather resources, and they build barracks and training grounds to train soldiers. Soon after they discover that this land is far too small for everybody, then the war begins... Imperial Settlers is a card game that lets players lead one of the four factions and build empires by placing buildings"
81,Innovation,Mid-Weight Strategy,,63888,380,7.32033,7.10799,2.7807276302851522,2010,2,5,2,2-3,12,12+,20,60,Carl Chudyk,Card Game | Civilization,Follow | Hand Management | Layering | Melding and Splaying | Sudden Death Ending | Tags | Take That | Tech Trees / Tech Tracks,,Race for the Galaxy | Keyflower | Glory to Rome | Watergate | For Sale | Arboretum | El Grande | Concordia | Sidereal Confluence | The Castles of Burgundy | Beyond the Sun | Quantum | Irish Gauge | Crokinole | Ginkgopolis | Hansa Teutonica | Roll for the Galaxy | Terra Mystica | Cat in the Box: Deluxe Edition | Power Grid | Innovation Ultimate | Ra | Pax Pamir: Second Edition | Mottainai | New Frontiers | Stockpile | Res Arcana | The Crew: Mission Deep Sea,1.00,auto,"Innovation is Carl Chudyk's tableau-builder of infinite possibilities, taking you on a journey from pre-history all the way to the present...and the near future! In this game, you build a civilization using only cards; there's no map, no tokens, no dice, no pieces. The game's 105 innovations — or in the fourth edition, 115 innovations — are each represented by a card with a unique effect, organized into ten (or eleven) ages. Each innovation's effect is tied thematically to its identity, allowing you to either elevate your society or attack your opponents. In addition to directly affecting your"
82,Kingdom Builder,Mid-Weight Strategy,,107529,779,6.93228,6.78073,2.0710479573712255,2011,2,4,4,2-4,8,8+,45,45,Donald X. Vaccarino,Medieval | Territory Building,Area Majority / Influence | Chaining | Enclosure | Grid Movement | Hexagon Grid | Modular Board | Network and Route Building | Pattern Building | Tile Placement | Variable Set-up,Series: Yellow Wave Box (Queen),"Alhambra | Stone Age | Tikal | The Castles of Burgundy | Targi | Tobago | Imhotep | Lost Cities | Thurn and Taxis | 7 Wonders | Five Tribes: The Djinns of Naqala | Century: Spice Road | Take 5 | Jaipur | Istanbul | Zooloretto | Orléans | Love Letter | Bärenpark | Azul | Saint Petersburg | My City | Isle of Skye: From Chieftain to King | 7 Wonders Duel | The Voyages of Marco Polo | Hadara | Puerto Rico | Hey, That's My Fish!",1.00,auto,"In Kingdom Builder, the players create their own kingdoms by skillfully building their settlements, aiming to earn the most gold at the end of the game. Nine different kinds of terrain are on the variable game board, including locations and castles. During his turn, a player plays his terrain card and builds three settlements on three hexes of this kind. If possible, a new settlement must be built next to one of that player&rsquo;s existing settlements. When building next to a location, the player may seize an extra action tile that he may use from his next turn on. These extra actions allow e"
83,Kingsburg,Mid-Weight Strategy,,27162,544,7.16594,6.96217,2.4209284028324154,2007,2,5,4,2-5,13,10+,90,90,Andrea Chiarvesio | Luca Iennaco,City Building | Dice | Fantasy | Medieval,Dice Rolling | Tech Trees / Tech Tracks | Turn Order: Random | Worker Placement with Dice Workers,,Alien Frontiers | Colosseum | Lords of Waterdeep | Istanbul | Notre Dame | Shadows over Camelot | Galaxy Trucker | Agricola | The Pillars of the Earth | Airlines Europe | Suburbia | The Manhattan Project | Puerto Rico | Stone Age | Trains | Dominion | Village | Endeavor | San Juan | Agricola: All Creatures Big and Small | Small World | Elysium | Snow Tails | 7 Wonders | Quadropolis | Rococo | Fresco | Euphoria: Build a Better Dystopia,1.00,auto,"In Kingsburg, players are Lords sent from the King to administer frontier territories. The game takes place over five years, a total of 20 turns. In every year, there are 3 production seasons for collecting resources, building structures, and training troops. Every fourth turn is the winter, in which all the players must fight an invading army. Each player must face the invaders, so this is not a cooperative game. The resources to build structures and train troops are collected by influencing the advisers in the King's Council. Players place their influence dice on members of the Council. The "
84,Le Havre,Mid-Weight Strategy,,35677,80,7.83511,7.65789,3.708584686774942,2008,1,5,3,1-4,12,12+,30,150,Uwe Rosenberg,City Building | Economic | Industry / Manufacturing | Nautical,Automatic Resource Growth | End Game Bonuses | Increase Value of Unchosen Resources | Loans | Ownership | Solo / Solitaire Game | Worker Placement,Cities: Le Havre (France) | Country: France | Region: Normandy (France) | Series: Harvest (Uwe Rosenberg),Trajan | Troyes | Great Western Trail | Ora et Labora | Tzolk'in: The Mayan Calendar | Fields of Arle | Concordia | Mombasa | Keyflower | Hallertau | Grand Austria Hotel | Lorenzo il Magnifico | The Voyages of Marco Polo | At the Gates of Loyang | Terra Mystica | Yokohama | Clans of Caledonia | Caverna: The Cave Farmers | The Gallerist | A Feast for Odin | Coimbra | Gùgōng | Carnegie | Heaven & Ale | Glass Road | Pulsar 2849 | Russian Railroads | Orléans,1.00,auto,"In Le Havre, a player's turn consists of two parts: First, distribute newly supplied goods onto the offer spaces; then take an action. As an action, players may choose either to take all goods of one type from an offer space or to use one of the available buildings. Building actions allow players to upgrade goods, sell them or use them to build their own buildings and ships. Buildings are both an investment opportunity and a revenue stream, as players must pay an entry fee to use buildings that they do not own. Ships, on the other hand, are primarily used to provide the food that is needed to "
85,Lewis & Clark,Mid-Weight Strategy,,140620,332,7.43036,7.16903,3.317780580075662,2013,1,5,3,1-4,14,12+,120,120,Cédrick Chaboussit,Age of Reason | American West | Exploration,"Action Retrieval | Deck, Bag, and Pool Building | Delayed Purchase | Hand Management | Multi-Use Cards | Open Drafting | Race | Resource to Move | Solo / Solitaire Game | Track Movement | Worker Placement",Historical Figures: Lewis & Clark | History: Oregon Trail | Theme: Native Americans / First Peoples,The Voyages of Marco Polo | Tzolk'in: The Mayan Calendar | Stone Age | Russian Railroads | The Castles of Burgundy | Deus | Village | Newton | Orléans | Great Western Trail | Concordia | Istanbul | Lorenzo il Magnifico | In the Year of the Dragon | La Granja | Trajan | Troyes | Five Tribes: The Djinns of Naqala | Isle of Skye: From Chieftain to King | Glass Road | Maracaibo | Le Havre | Terra Mystica | Caverna: The Cave Farmers | Rajas of the Ganges | Praga Caput Regni | Coimbra | Clans of Caledonia,1.00,override,"On November 30, 1803, the United States purchased Louisiana from Napoleon. U.S. President Thomas Jefferson decided to send two explorers – Meriwether Lewis and William Clark – to discover this huge terra incognita. Lewis & Clark is a board game in which each player manages an expedition intended to cross the North American continent. Their goal is to be the first to reach the Pacific. Each one has his own Corps of Discovery that will be completed by the Native Americans and the trappers met during the journey. He has to cleverly manage his characters and also the resources he finds along the w"
86,Lords of Waterdeep,Mid-Weight Strategy,,110327,107,7.72987,7.58215,2.4490301279405697,2012,2,5,3-4,2-5,12,10+,60,120,Peter Lee | Rodney Thompson,City Building | Fantasy,Contracts | Hidden Roles | Increase Value of Unchosen Resources | Ownership | Set Collection | Take That | Turn Order: Claim Action | Worker Placement,Setting: Dungeons & Dragons | Versions & Editions: Board Game Versions of Role-Playing Games,Dinosaur Island | Galaxy Trucker | Roll for the Galaxy | Alien Frontiers | Champions of Midgard | Suburbia | Scythe | Clank!: A Deck-Building Adventure | Small World | Euphoria: Build a Better Dystopia | Raiders of the North Sea | Roll Player | Shadows over Camelot | Pandemic | Mystic Vale | Kingsburg | Terraforming Mars: Ares Expedition | Dune: Imperium | Dead of Winter: A Crossroads Game | Viticulture Essential Edition | Near and Far | Charterstone | Istanbul | Steampunk Rally | Sheriff of Nottingham | Dominion | 7 Wonders | Clank! In! Space!: A Deck-Building Adventure,1.00,auto,"Waterdeep, the City of Splendors – the most resplendent jewel in the Forgotten Realms, and a den of political intrigue and shady back-alley dealings. In Lords of Waterdeep, a strategy board game for 2-5 players, you take on the role of one of the masked Lords of Waterdeep, secret rulers of the city. Through your agents, you recruit adventurers to go on quests on your behalf, earning rewards and increasing your influence over the city. Expand the city by purchasing new buildings that open up new actions on the board, and hinder – or help – the other lords by playing intrigue cards to enact your"
87,Lost Ruins of Arnak,Mid-Weight Strategy,,312484,30,8.0823,7.91511,2.931090613130765,2020,1,4,3,1-4,12,10+,30,120,Elwen | Mín,Adventure | Card Game | Exploration | Fantasy,"Area Movement | Contracts | Deck, Bag, and Pool Building | Delayed Purchase | End Game Bonuses | Hand Management | Multi-Use Cards | Once-Per-Game Abilities | Open Drafting | Resource to Move | Solo / Solitaire Game | Track Movement | Turn Order: Progressive | Worker Placement",Creatures: Monsters | Islands: Fictional | Occupation: Adventurer / Explorer | Theme: Archaeology / Paleontology | Theme: Temple | Theme: Tropical | Theme: Tropical Islands,Ark Nova | Planet Unknown | The White Castle | Architects of the West Kingdom | Revive | Obsession | Earth | Tapestry | Viticulture Essential Edition | Wingspan | Terraforming Mars | Great Western Trail: Second Edition | Heat: Pedal to the Metal | Distilled | 7 Wonders Duel | Darwin's Journey | Apiary | Orléans | Everdell | A Feast for Odin | Cascadia | Dune: Imperium | Terraforming Mars: Ares Expedition | Pirates of Maracaibo | Beyond the Sun | Res Arcana | Underwater Cities | The Vale of Eternity,1.00,auto,"On an uninhabited island in uncharted seas, explorers have found traces of a great civilization. Now you will lead an expedition to explore the island, find lost artifacts, and face fearsome guardians, all in a quest to learn the island's secrets. Lost Ruins of Arnak combines deck-building and worker placement in a game of exploration, resource management, and discovery. In addition to traditional deck-builder effects, cards can also be used to place workers, and new worker actions become available as players explore the island. Some of these actions require resources instead of workers, so bu"
88,Maracaibo,Mid-Weight Strategy,,276025,87,7.94306,7.63379,3.91731843575419,2019,1,4,3,1-4,12,14+,30,120,Alexander Pfister,Economic | Exploration | Nautical | Pirates,Contracts | End Game Bonuses | Events | Hand Management | Income | Movement Points | Multi-Use Cards | Narrative Choice / Paragraph | Point to Point Movement | Scenario / Mission / Campaign Game | Set Collection | Solo / Solitaire Game | Stock Holding | Tech Trees / Tech Tracks | Track Movement | Variable Set-up,Cities: Maracaibo (Venezuela) | Region: Caribbean Sea | Theme: Colonial,Teotihuacan: City of Gods | Praga Caput Regni | Clans of Caledonia | Tzolk'in: The Mayan Calendar | Darwin's Journey | Underwater Cities | Lorenzo il Magnifico | Carnegie | Orléans | Revive | Yokohama | Newton | A Feast for Odin | Caverna: The Cave Farmers | Marco Polo II: In the Service of the Khan | Anachrony | Architects of the West Kingdom | Great Western Trail | La Granja | Ark Nova | Gaia Project | Obsession | Grand Austria Hotel | Pirates of Maracaibo | Skymines | Age of Innovation | The Voyages of Marco Polo | Beyond the Sun,1.00,auto,"Maracaibo, a strategy game for 1-4 players by Alexander Pfister, is set in the Caribbean during the 17th century. The players try to increase their influence in three nations in four rounds with a play time of 40 minutes per player. The players sail on a round course through the Caribbean, e.g., you have city tiles where you are able to perform various actions or deliver goods to. One special feature is an implemented quest mode over more and various tiles, which tells the player, who chase after it, a little story. As a player, you move with your ship around the course, managing it by using c"
89,Marco Polo,Mid-Weight Strategy,,2280,29032,5.28165,5.47772,1.7777777777777777,1983,2,4,2,2-3,8,6–14,60,60,Tom Kremer,Adventure | Arabian | Economic | Exploration | Transportation,Pick-up and Deliver | Roll / Spin and Move | Set Collection | Trading,Theme: Silk Road,Castles | Scruples: Millennium Edition | Furor Barbarus | Let's Do Lunch! | Canossa | Postcard from the Revolution | King | Uppsala: Città d'Italia | Map It! World Edition | Blood of Noble Men: The Alamo | Lupus in Tabula | Tressette | Smiles & Daggers | Sbam! | Squillo | Machiavelli | Plagio,1.00,auto,"Players start in Venice with 240 besants (or 1200 Reales) each, trying to make it to Khanbalik, capital of Kublai Khan's kingdom. Each player has to acquire 3 gifts worth 80 besants (or 400 Reales) each for Kublai Khan. Then the player receive a mission (going to a city and receiving a secret invention). After receiving the secret invention, players has to make it back to Venice, with the mission card, and enough money (depending on the number of players), to win the game. The rule-booklet also includes a brief description of Marco Polo and his life, and references to other Danish books about "
90,Marco Polo II: In the Service of the Khan,Mid-Weight Strategy,,283948,201,7.92092,7.36218,3.3784722222222223,2019,2,4,3,2-4,12,12+,60,120,Simone Luciani | Daniele Tascini,Dice | Economic | Medieval | Travel,Contracts | Dice Rolling | Point to Point Movement | Resource to Move | Turn Order: Stat-Based | Variable Player Powers | Worker Placement | Worker Placement with Dice Workers,Animals: Camels | Cities: Baghdad (Iraq) | Cities: Beijing (China) | Country: China | Region: Middle East | Theme: Silk Road | Versions & Editions: Sequels,Praga Caput Regni | Lorenzo il Magnifico | Clans of Caledonia | Maracaibo | Newton | Teotihuacan: City of Gods | Grand Austria Hotel | Yokohama | Carnegie | Tzolk'in: The Mayan Calendar | Darwin's Journey | Orléans | The Voyages of Marco Polo | Skymines | Messina 1347 | La Granja | Revive | Architects of the West Kingdom | Age of Innovation | Underwater Cities | Nucleum | Great Western Trail: Argentina | Caverna: The Cave Farmers | A Feast for Odin | Coimbra | Bonfire | Tiletum | Great Western Trail: New Zealand,1.00,auto,"The journeys of Marco Polo continue in Marco Polo II: In the Service of the Khan, an epic follow-up to The Voyages of Marco Polo. After traveling to Beijing, your travels now take you back to the West in the service of the Khan, sending you to the farthest reaches of his empire in search of wealth and fame. Marco Polo II is a standalone game based on The Voyages of Marco Polo, and you don't need the original game to play this one. This new journey will present unique challenges, with new and different actions, new scoring rules, and a new good: rare and valuable Chinese jade. Retread old paths"
91,Nations,Mid-Weight Strategy,,126042,271,7.5902,7.2429,3.5400271370420624,2013,1,5,3-4,1-5,14,14+,40,200,Rustan Håkansson | Nina Håkansson | Einar Rosén | Robert Rosén,Card Game | Civilization | Economic,Contracts | End Game Bonuses | Events | Hidden Victory Points | Income | Open Drafting | Tags | Turn Order: Stat-Based | Variable Player Powers | Variable Set-up | Worker Placement,Historical Figures: Various,Mombasa | Le Havre | Troyes | Trajan | Great Western Trail | Archipelago | London (Second Edition) | At the Gates of Loyang | Endeavor: Age of Sail | Fields of Arle | Pulsar 2849 | Gentes | Ora et Labora | The Manhattan Project: Energy Empire | Dominant Species | Tzolk'in: The Mayan Calendar | Blackout: Hong Kong | Terra Mystica | Through the Ages: A New Story of Civilization | Gaia Project | Alien Frontiers | The Voyages of Marco Polo | Vinhos | Agricola | Yedo | Gùgōng | In the Year of the Dragon | The Manhattan Project,1.00,auto,"From the humble beginnings of civilization through the historical ages of progress, mankind has lived, fought, and built together in nations. Great nations protect and provide for their own, while fighting and competing against both other nations and nature itself. Nations must provide food and stability as the population increases. They must build a productive economy. And all the while, they must amaze the world with their great achievements to build up their heritage as the greatest nations in the history of mankind! Nations is an intense historical board game for 1–5 players that takes 40 "
92,Nidavellir,Mid-Weight Strategy,,293014,254,7.55239,7.26574,2.117808219178082,2020,2,5,3,2-5,10,10+,45,45,Serge Laget,Card Game | Fantasy | Mythology,Auction / Bidding | Auction: Multiple Lot | Auction: Sealed Bid | Constrained Bidding | End Game Bonuses | Selection Order Bid | Set Collection | Simultaneous Action Selection,Creatures: Dwarves & Gnomes | Mythology: Norse,Res Arcana | It's a Wonderful World | The Vale of Eternity | Five Tribes: The Djinns of Naqala | Abyss | Bunny Kingdom | 7 Wonders Duel | Knarr | Hadara | Ancient Knowledge | Architects of the West Kingdom | Planet Unknown | Splendor Duel | Point Salad | Jaipur | Welcome To... | Century: Spice Road | Dice Forge | 7 Wonders: Architects | Tiny Towns | Aquatica | Earth | The Isle of Cats | Lost Ruins of Arnak | Kingdomino | Wingspan | Furnace | Takenoko,1.00,auto,"Nidavellir, the Dwarf Kingdom, is threatened by the dragon Fafnir. As a venerable Elvaland, you have been appointed by the King. Search through every tavern in the kingdom, hire the most skillful dwarves, recruit the most prestigious heroes, and build the best battalion you can to defeat your mortal enemy! Each turn in Nidavellir, bid a coin on each tavern. In descending order, choose a character and add this character to your army. Each dwarf class has its own scoring way: blacksmith, hunter, warrior, explorer, and miner. A meticulous recruitment will allow you to attract a powerful hero to y"
93,Notre Dame,Mid-Weight Strategy,,25554,464,7.30823,7.03118,2.7397610921501707,2007,2,5,3-4,2-5,10,10+,45,75,Stefan Feld,Economic | Renaissance,Area Majority / Influence | Closed Drafting | Point to Point Movement,Animals: Rats | Cities: Paris (France) | Country: France | Series: Alea Big Box | Theme: Plague Epidemic,In the Year of the Dragon | Bruges | Glen More | Macao | The Princes of Florence | Kingsburg | Caylus | Amerigo | Lancaster | San Juan | Bora Bora | Fresco | Thebes | The Pillars of the Earth | Istanbul | Colosseum | Goa | Village | Vikings | Rococo | Trajan | At the Gates of Loyang | Puerto Rico | Airlines Europe | Tobago | Endeavor | The Voyages of Marco Polo | Tikal,1.00,auto,"Rio Grande Games' description: The players take on the roles of the heads of influential families in Paris at the end of the 14th century. In the shadow of the Notre Dame cathedral, the players compete for prosperity and reputation. Each family controls one of the 3–5 boroughs that surround the site of Notre Dame. As head of his family, each player tries, through clever use of his action cards, to advance the power and prestige of his family, but penalties are assessed on those who do not take care of the health of the people who live in their borough. The player with the most prestige at the "
